1758405662,1758408063,high
1758408362,1758417662,normal
1758417962,1758422162,high
1758422462,1758437762,extremely_high
1758438063,1758440762,high
1758441061,1758458161,normal
1758458461,1758461161,high
1758461461,1758465361,normal
1758465661,1758467462,high
1758467760,1758471361,extremely_high
1758471661,1758476461,high
1758476761,1758487260,normal
1758487560,1758489360,high
1758489662,1758498061,normal
1758498360,1758498360,high
1758498660,1758498660,normal
1758498960,1758498960,high
1758499260,1758532260,normal
1758532559,1758534059,high
1758534360,1758535259,extremely_high
1758535559,1758539159,high
1758539460,1758540359,normal
1758540659,1758546359,high
1758546658,1758558659,normal
1758558959,1758562258,high
1758562559,1758570658,normal
1758570958,1758574858,high
1758575158,1758590457,normal
1758590757,1758591058,low
1758591358,1758612957,normal
1758613257,1758613257,high
1758613558,1758613558,normal
1758613858,1758615357,high
1758615657,1758619258,extremely_high
1758619557,1758621658,high
1758621958,1758634258,normal
1758634557,1758634557,high
1758634857,1758648657,normal
1758648957,1758655857,high
1758656157,1758659457,normal
1758659757,1758663056,high
1758663357,1758663357,normal
1758663656,1758663656,high
1758663957,1758676556,normal
1758676857,1758685557,high
1758685856,1758704455,normal
1758704756,1758706256,low
1758706556,1758706856,normal
1758707156,1758707156,low
1758707456,1758710158,normal
1758710455,1758710756,low
1758711055,1758714956,normal
1758715255,1758715556,low
1758715856,1758725755,normal
1758726057,1758729956,high
1758730255,1758744355,normal
1758744656,1758745855,high
1758746155,1758747955,normal
1758748255,1758750355,high
1758750655,1758756355,normal
1758756654,1758758754,low
1758759055,1758759956,normal
1758760254,1758760254,low
1758760555,1758761455,normal
1758761754,1758762055,low
1758762355,1758762955,normal
1758763255,1758763854,low
1758764154,1758783654,normal
1758783954,1758783954,high
1758784254,1758784556,normal
1758784854,1758791154,high
1758791454,1758823852,normal
1758824152,1758826853,high
1758827152,1758827753,extremely_high
1758828052,1758828354,high
1758828653,1758838552,normal
1758838852,1758838852,high
1758839152,1758839152,normal
1758839452,1758849051,high
1758849352,1758868552,normal
1758868852,1758868852,low
1758869151,1758876051,normal
1758876351,1758877251,low
1758877551,1758887152,normal
1758887451,1758890151,high
1758890450,1758895550,extremely_high
1758895850,1758895850,high
1758896150,1758897350,normal
1758897650,1758899150,high
1758899450,1758899750,normal
1758900051,1758900950,high
1758901251,1758904250,normal
1758904550,1758904850,low
1758905150,1758906050,normal
1758906350,1758906350,low
1758906650,1758936649,normal
1758936949,1758948349,high
1758948648,1758963351,normal
1758963650,1758964550,low
1758964851,1758986151,normal
1758986450,1758987050,high
1758987350,1758991250,extremely_high
1758991549,1758993050,high
1758993350,1758999349,normal
1758999649,1759000250,low
1759000550,1759008950,normal
1759009249,1759009249,high
1759009550,1759020649,normal
1759020950,1759020950,high
1759021249,1759021249,normal
1759021550,1759032349,high
1759032649,1759065948,normal
1759066249,1759068049,high
1759068349,1759070448,normal
1759070748,1759072548,high
1759072848,1759076447,extremely_high
1759076748,1759077947,high
1759078247,1759080347,normal
1759080647,1759082447,high
1759082747,1759085447,normal
1759085747,1759086046,low
1759086347,1759095047,normal
1759095347,1759095946,high
1759096246,1759096246,normal
1759096546,1759097748,high
1759098048,1759151747,normal
1759152047,1759152047,low
1759152347,1759152347,normal
1759152647,1759153247,low
1759153547,1759214146,normal
1759214446,1759214446,high
1759214746,1759215345,normal
1759215645,1759215645,high
1759215945,1759217446,normal
1759217747,1759218045,high
1759218345,1759223222,normal
1759223523,1759225924,high
1759226223,1759231323,normal
1759231623,1759231623,high
1759231923,1759231923,normal
1759232222,1759235523,high
1759235823,1759250524,normal
1759250823,1759250823,high
1759251123,1759251123,normal
1759251422,1759253222,high
1759253523,1759255622,normal
1759255922,1759255922,high
1759256222,1759264623,normal
1759264922,1759264922,high
1759265222,1759265822,normal
1759266122,1759267622,high
1759267922,1759267922,normal
1759268222,1759269123,high
1759269422,1759286522,normal
1759286822,1759288321,low
1759288621,1759290121,normal
1759290421,1759290421,low
1759290722,1759299121,normal
1759299421,1759299421,high
1759299721,1759305721,normal
1759306021,1759307221,high
1759307521,1759308721,extremely_high
1759309021,1759310821,high
1759311121,1759323120,normal
1759323421,1759323421,low
1759323721,1759327020,normal
1759327321,1759327921,low
1759328221,1759336021,normal
1759336320,1759338121,low
1759338421,1759347420,normal
1759347720,1759347720,low
1759348021,1759348021,normal
1759348321,1759348621,low
1759348920,1759369320,normal
1759369620,1759369620,low
1759369920,1759370220,normal
